Name,Platform,RatingOutOf20,Publisher,Year,Classification,Genre
secret files: tunguska,ds,14,deep silver,2008,+12,adventure
secret files: tunguska,wii,15,koch media,2008,+12,adventure
secret files: tunguska,pc,14,dreamcatcher interactive,2006,+12,adventure
secret files 2: puritas cordis,ds,16,deep silver,2009,+12,adventure
secret files 2: puritas cordis,wii,16,deep silver,2009,+12,adventure
secret files 2: puritas cordis,pc,16,deep silver,2009,+12,adventure
secret of mana,snes,17,squaresoft,1993,+7,role-playing
secret weapons over normandy,ps2,15,lucasarts,2003,+12,simulation
section 8,pc,13,southpeak games,2009,+16,shooter
seek and destroy,ps2,7,play it,2002,+3,racing
sega casino,ds,8,sega,2005,+18,misc
sonic's ultimate genesis collection,ps3,14,sega,2009,+12,misc
sega soccer slam,ps2,12,sega,2002,+3,sports
seiken densetsu 3,snes,17,squaresoft,1995,unknown,role-playing
sengoku basara: samurai heroes,wii,13,capcom,2010,+16,action
sengoku basara: samurai heroes,ps3,13,capcom,2010,+16,action
serious sam: next encounter,ps2,10,global star,2004,+12,shooter
serious sam ii,pc,15,take-two interactive,2005,+12,shooter
serious sam 3: bfe,pc,15,mastertronic,2011,+18,shooter
seven samurai 20xx,ps2,11,sega,2004,+12,action
shadow hearts,ps2,15,midway games,2001,+16,role-playing
shadow hearts: covenant,ps2,16,midway games,2004,+16,role-playing
shadow man,n64,18,acclaim entertainment,1999,+16,action
shadow man: 2econd coming,ps2,13,acclaim entertainment,2002,+16,adventure
shadow of destiny,ps2,13,konami digital entertainment,2001,+7,adventure
shadow of rome,ps2,15,capcom,2005,+18,action
shadow of the colossus,ps2,19,sony computer entertainment,2005,+12,action
shadows of the damned,ps3,14,electronic arts,2011,+18,action
shaman king: power of spirit,ps2,10,konami digital entertainment,2004,+12,adventure
shaun palmer's pro snowboarder,gba,14,activision,2001,+3,sports
shaun palmer's pro snowboarder,ps2,16,codemasters,2001,+3,sports
shaun white skateboarding,wii,13,ubisoft,2010,+3,sports
shaun white skateboarding,ps3,13,ubisoft,2010,+3,sports
shaun white snowboarding,ps2,16,ubisoft,2008,+3,sports
shaun white snowboarding,psp,15,ubisoft,2008,+3,sports
shaun white snowboarding,ds,12,ubisoft,2008,+3,sports
shaun white snowboarding,ps3,14,ubisoft,2008,unknown,sports
shaun white snowboarding: road trip,wii,16,ubisoft,2008,+3,sports
shaun white snowboarding: world stage,wii,15,ubisoft,2009,+3,sports
the dukes of hazzard: return of the general lee,ps2,6,ubisoft,2004,+12,racing
shin megami tensei: digital devil saga,ps2,16,ghostlight,2004,+16,role-playing
shin megami tensei: digital devil saga 2,ps2,15,ghostlight,2005,+16,role-playing
shin megami tensei: nocturne,ps2,16,ghostlight,2003,+12,role-playing
attack on titan: humanity in chains,3ds,13,screenlife,2013,unknown,action
shining force: resurrection of the dark dragon,gba,16,thq,2004,+3,role-playing
shining soul,gba,15,atari,2002,+3,role-playing
shining soul ii,gba,16,thq,2003,+3,role-playing
shinobi,3ds,15,sega,2011,+16,platform
shinobi,ps2,14,sony computer entertainment,2002,+12,platform
ship simulator extremes,pc,8,paradox interactive,2010,+3,simulation
ship simulator 2008,pc,11,lighthouse interactive,2007,+3,simulation
shovel knight,3ds,18,yacht club games,2015,+3,platform
shovel knight,wiiu,18,yacht club games,2015,+3,platform
showdown: legends of wrestling,ps2,8,acclaim entertainment,2004,+12,fighting
showtime championship boxing,ds,5,zoo digital publishing,2007,+12,fighting
showtime championship boxing,wii,7,zoo digital publishing,2007,+12,fighting
shox,ps2,16,electronic arts,2002,+3,racing
shrek superslam,gba,4,activision,2005,+3,action
shrek superslam,ds,6,activision,2005,+3,action
shrek superslam,ps2,9,activision,2005,+3,action
shrek 2,ps2,12,activision,2004,+3,platform
shrek the third,psp,9,activision,2007,+3,action
shrek the third,ps2,9,activision,2007,+3,action
shrek the third,wii,9,activision,2007,+3,action
sid meier's pirates!,wii,14,take-two interactive,2010,+12,strategy
sid meier's pirates!,psp,14,take-two interactive,2007,+12,strategy
sid meier's railroads!,pc,12,take-two interactive,2006,+3,simulation
sigma star saga,gba,13,atari,2005,+12,role-playing
silent hill: downpour,ps3,14,konami digital entertainment,2012,+18,action
silent hill: shattered memories,wii,14,konami digital entertainment,2009,+16,action
silent hill: shattered memories,ps2,14,konami digital entertainment,2010,+16,action
silent hill: shattered memories,psp,14,konami digital entertainment,2010,+16,action
silent hill 2,ps2,18,konami digital entertainment,2001,+16,action
silent hill 3,ps2,17,konami digital entertainment,2003,+16,action
silent hill 4: the room,ps2,16,konami digital entertainment,2004,+18,action
silent hunter: wolves of the pacific,pc,16,ubisoft,2007,+7,simulation
silent hunter 5: battle of the atlantic,pc,14,ubisoft,2010,+12,simulation
silent hunter iii,pc,16,ubisoft,2005,+7,simulation
silent scope,gba,14,konami digital entertainment,2002,+3,shooter
silent scope,ps2,13,konami digital entertainment,2000,+3,shooter
silent scope 2: dark silhouette,ps2,13,konami digital entertainment,2001,+16,shooter
silent scope 3,ps2,13,konami digital entertainment,2002,+16,shooter
silpheed: the lost planet,ps2,12,swing! entertainment,2000,+3,shooter
simanimals,ds,11,electronic arts,2009,+3,simulation
simanimals,wii,12,electronic arts,2009,unknown,simulation
simcity,pc,12,maxis,1988,+7,simulation
simcity,snes,17,nintendo,1991,+3,simulation
simcity 2000,pc,17,maxis,1992,+3,simulation
simcity 2000,gba,11,zoo digital publishing,2003,+3,simulation
simcity 4,pc,18,electronic arts,2003,+3,simulation
simcity creator,wii,15,electronic arts,2008,+7,simulation
simcity creator,ds,14,electronic arts,2008,+7,simulation
simcity ds,ds,12,electronic arts,2007,+3,simulation
simcity societies,pc,11,electronic arts,2007,+7,simulation
sin and punishment,n64,18,nintendo,2000,+12,shooter
sing party,wiiu,12,nintendo,2012,+3,misc
singstar,ps3,16,sony computer entertainment,2007,+12,misc
singstar,ps2,14,sony computer entertainment,2004,+3,misc
singstar: back to the 80s,ps3,8,sony computer entertainment,2011,+12,misc
singularity,pc,12,mastertronic,2010,+18,shooter
sins of a solar empire,pc,16,pinnacle,2008,+7,strategy
siren: blood curse,ps3,15,sony computer entertainment,2008,unknown,action
sky odyssey,ps2,15,sony computer entertainment,2000,+3,simulation
skylanders: spyro's adventure,3ds,13,activision,2011,+3,action
skylanders: spyro's adventure,pc,15,activision,2011,+3,action
skylanders: spyro's adventure,ps3,15,activision,2011,+3,action
skylanders giants,wiiu,15,activision,2012,+7,action
skylanders giants,3ds,13,activision,2012,+7,action
skylanders giants,wii,15,activision,2012,+7,action
skylanders giants,ps3,15,activision,2012,+7,action
skylanders: trap team,ps4,14,activision,2014,+7,action
sled storm,ps2,15,electronic arts,2002,+3,racing
sleeping dogs,pc,16,square enix,2012,+18,action
sleeping dogs,ps3,16,square enix,2012,+18,action
sly 2: band of thieves,ps2,17,sony computer entertainment,2004,+3,platform
sly 3: honor among thieves,ps2,17,sony computer entertainment,2005,+3,platform
sly cooper: thieves in time,ps3,17,sony computer entertainment europe,2013,+7,platform
sly cooper and the thievius raccoonus,ps2,16,sony computer entertainment,2002,+3,platform
smash cars,ps2,13,metro 3d,2003,+3,racing
smash court tennis 3,psp,14,namco bandai games,2007,+3,sports
smashing drive,gba,8,zoo digital publishing,2004,+3,racing
smuggler's run,gba,7,rebellion,2002,+12,racing
smuggler's run,ps2,16,take-two interactive,2000,+12,racing
sniper: ghost warrior,ps3,11,city interactive,2011,+16,shooter
sniper: ghost warrior 2,ps3,10,city interactive,2013,+18,shooter
sniper: ghost warrior 2,pc,10,city interactive,2013,+18,shooter
sniper elite,wii,9,reef entertainment,2010,+16,shooter
sniper elite,pc,13,mc2 entertainment,2005,+16,shooter
sniper elite,ps2,13,ubisoft,2005,+16,shooter
sniper elite v2,ps3,14,505 games,2012,+16,shooter
so blonde,pc,16,eidos interactive,2008,+12,adventure
socom 4: u.s. navy seals,ps3,15,sony computer entertainment,2011,+16,shooter
socom: u.s. navy seals,ps2,16,sony computer entertainment,2002,+16,shooter
socom: u.s. navy seals,ps2,14,sony computer entertainment,2002,+16,shooter
socom 3: u.s. navy seals,ps2,14,sony computer entertainment,2005,+16,shooter
socom ii: u.s. navy seals,ps2,13,sony computer entertainment,2003,+16,shooter
solatorobo: red the hunter,ds,18,nintendo,2010,+7,role-playing
soldier of fortune: payback,ps3,6,activision,2007,+18,shooter
sonic & sega all-stars racing,ds,14,sega,2010,+3,racing
sonic & sega all-stars racing,wii,16,sega,2010,+3,racing
sonic & sega all-stars racing,ps3,16,sega,2010,+3,racing
sonic advance,gba,16,sega,2001,unknown,platform
sonic advance 2,gba,17,sega,2002,+3,platform
sonic advance 3,gba,15,thq,2004,+3,platform
sonic and the secret rings,wii,13,sega,2007,+7,platform
sonic boom: fire & ice,3ds,12,sega,2016,+3,platform
sonic chronicles: the dark brotherhood,ds,13,sega,2008,+7,role-playing
sonic and the black knight,wii,10,sega,2009,+12,platform
sonic heroes,ps2,14,sega,2003,+3,platform
sonic riders,ps2,10,sega,2006,+3,racing
sonic riders: zero gravity,ps2,9,sega,2008,+3,racing
sonic riders: zero gravity,wii,9,sega,2008,unknown,racing
sonic rivals,psp,13,sega,2006,+7,racing
sonic rivals 2,psp,12,sega,2007,+7,racing
sonic rush,ds,14,sega,2005,+3,platform
sonic rush adventure,ds,16,sega,2007,+12,platform
sonic the hedgehog,ps3,9,sega,2006,+12,platform
disaster report,ps2,14,agetec,2002,+3,action
soul bubbles,ds,15,eidos interactive,2008,+12,puzzle
soul nomad & the world eaters,ps2,15,tecmo koei,2007,+12,role-playing
soulcalibur: broken destiny,psp,16,namco bandai games,2009,+16,fighting
soulcalibur ii,ps2,19,namco bandai games,2003,+12,fighting
soulcalibur iii,ps2,19,namco bandai games,2005,+16,fighting
soulcalibur iv,ps3,18,ubisoft,2008,unknown,fighting
soulcalibur v,ps3,16,namco bandai games,2012,+16,fighting
south park: the stick of truth,pc,18,ubisoft,2014,+18,role-playing
south park: the stick of truth,ps3,18,ubisoft,2014,+18,role-playing
south park: chef's luv shack,n64,10,acclaim entertainment,1999,+16,misc
space invaders,gba,13,activision,2002,+3,shooter
space invaders revolution,ds,3,rising star games,2005,+3,shooter
spartan: total warrior,ps2,14,sega,2005,+18,action
spawn: armageddon,ps2,11,electronic arts,2003,+16,action
spec ops: the line,pc,16,take-two interactive,2012,+18,shooter
spec ops: the line,ps3,16,take-two interactive,2012,+18,shooter
spectral force genesis,ds,8,nobilis,2008,+12,role-playing
spectrobes,ds,12,disney interactive studios,2007,+7,role-playing
spectrobes: beyond the portals,ds,15,disney interactive studios,2008,+7,role-playing
spectrobes: origins,wii,15,disney interactive studios,2009,+7,role-playing
speed,wii,3,unknown,2010,+7,racing
speed kings,ps2,10,acclaim entertainment,2003,+3,racing
speed racer: the videogame,ps2,12,warner bros. interactive entertainment,2008,+3,racing
speed racer: the videogame,ds,12,warner bros. interactive entertainment,2008,+3,racing
speed racer: the videogame,wii,12,warner bros. interactive entertainment,2008,+3,racing
sphinx and the cursed mummy,ps2,14,thq,2003,+12,action
spider-man,n64,17,activision,2000,+3,action
spider-man: friend or foe,psp,6,activision,2007,+7,action
spider-man: friend or foe,ds,10,activision,2007,+7,action
spider-man: friend or foe,pc,13,activision,2007,+7,action
spider-man: friend or foe,ps2,13,activision,2007,+7,action
spider-man: friend or foe,wii,13,activision,2007,+7,action
spider-man: edge of time,ds,6,activision,2011,+12,action
spider-man: edge of time,wii,9,activision,2011,+12,action
spider-man: edge of time,3ds,11,activision,2011,+12,action
spider-man: edge of time,ps3,12,activision,2011,+12,action
spider-man: battle for new york,ds,13,activision,2006,+12,platform
spider-man: web of shadows,wii,12,activision,2008,+12,action
spider-man: web of shadows,pc,13,activision,2008,+12,action
spider-man: web of shadows,ps3,13,activision,2008,+12,action
spider-man: web of shadows,ds,13,activision,2008,+12,action
spider-man: web of shadows - amazing allies edition,psp,7,activision,2008,+12,action
spider-man: mysterio's menace,gba,15,activision,2001,+3,action
spider-man 2,psp,10,activision,2005,+3,action
spider-man 2,ds,9,activision,2004,+3,action
spider-man 2,gba,12,activision,2004,unknown,action
spider-man 2,ps2,14,activision,2004,+3,action
spider-man 3,psp,9,activision,2007,+12,platform
spider-man 3,ps3,11,activision,2007,+12,platform
spider-man 3,ds,13,activision,2007,+12,platform
spider-man 3,wii,10,activision,2007,+12,platform
spider-man 3,pc,11,activision,2007,+12,platform
spider-man 3,ps2,10,activision,2007,+12,platform
spider-man: shattered dimensions,ds,13,activision,2010,+16,action
spider-man: shattered dimensions,wii,15,activision,2010,+16,action
spider-man: shattered dimensions,ps3,15,activision,2010,+16,action
spirit camera: the cursed memoir,3ds,14,nintendo,2012,+16,adventure
splatoon,wiiu,17,nintendo,2015,+7,shooter
tom clancy's splinter cell,gba,16,ubisoft,2003,+7,action
tom clancy's splinter cell,ps2,19,ubisoft,2003,+7,action
tom clancy's splinter cell: chaos theory,ds,11,ubisoft,2005,+12,action
tom clancy's splinter cell: chaos theory,ps2,18,ubisoft,2005,+12,action
tom clancy's splinter cell: conviction,pc,15,ubisoft,2010,+12,action
tom clancy's splinter cell: double agent,ps3,18,ubisoft,2007,+18,action
tom clancy's splinter cell: double agent,wii,11,ubisoft,2006,+18,action
tom clancy's splinter cell: essentials,psp,11,ubisoft,2006,+16,shooter
tom clancy's splinter cell: pandora tomorrow,ps2,18,ubisoft,2004,+12,action
tom clancy's splinter cell: pandora tomorrow,gba,15,ubisoft,2004,+12,action
split/second,psp,13,disney interactive studios,2010,+7,racing
split/second,ps3,16,disney interactive studios,2010,+7,racing
split/second,pc,16,disney interactive studios,2010,+7,racing
spongebob squarepants: supersponge,gba,10,thq,2001,+3,action
spore,pc,18,electronic arts,2008,+7,strategy
spore creatures,ds,15,electronic arts,2008,+12,simulation
spore hero,wii,13,electronic arts,2009,+7,simulation
sports champions,ps3,15,sony computer entertainment,2010,+12,sports
sports collection,ds,10,ubisoft,2010,+3,sports
deca sports,wii,7,konami digital entertainment,2008,+3,sports
deca sports 2,wii,8,hudson soft,2009,+3,sports
deca sports 3,wii,8,hudson soft,2010,+3,sports
deca sports extreme,3ds,8,hudson soft,2011,+12,sports
sprint cars: road to knoxville,ps2,11,thq,2005,+3,racing
spy fiction,ps2,8,sega,2003,+12,action
spy hunter,ps2,13,midway games,2001,+3,racing
spy hunter 2,ps2,7,midway games,2003,+7,racing
spy kids 3-d: game over,gba,4,disney interactive studios,2003,+7,platform
eyetoy: operation spy,ps2,8,sony computer entertainment,2005,+3,action
spyborgs,wii,14,capcom,2009,+12,action
spyro: a hero's tail,ps2,11,vivendi games,2004,+3,platform
spyro: enter the dragonfly,ps2,13,universal interactive,2002,+3,platform
spyro orange: the cortex conspiracy,gba,12,vivendi games,2004,+3,action
spyro: season of ice,gba,15,vivendi games,2001,+3,platform
spyro: shadow legacy,ds,10,vivendi games,2005,+7,action
spyro 2: season of flame,gba,15,vivendi games,2002,+3,platform
spyro: attack of the rhynocs,gba,15,universal interactive,2003,+3,platform
squinkies,ds,4,activision,2011,+3,misc
ssx,ps3,17,electronic arts,2012,+3,sports
ssx,ps2,18,electronic arts,2000,+3,sports
ssx blur,wii,15,electronic arts,2007,+3,sports
ssx tricky,gba,16,electronic arts,2002,+3,sports
ssx tricky,ps2,15,electronic arts,2001,+3,sports
star ocean: first departure,psp,15,square enix,2007,+12,role-playing
star ocean: second evolution,psp,14,square enix,2008,+12,role-playing
star trek: conquest,wii,7,bethesda softworks,2007,+7,strategy
star trek: legacy,pc,10,ubisoft,2006,+12,simulation
star trek: shattered universe,ps2,7,global star,2004,+12,simulation
star trek: tactical assault,ds,10,ubisoft,2006,+12,strategy
star trek: tactical assault,psp,11,ubisoft,2006,+12,strategy
star trek online,pc,16,atari,2010,+12,role-playing
star wars: bounty hunter,ps2,13,lucasarts,2002,+12,shooter
star wars: dark forces,pc,18,lucasarts,1994,unknown,shooter
star wars: empire at war,pc,14,lucasarts,2006,+12,strategy
star wars: empire at war - forces of corruption,pc,13,lucasarts,2006,+12,strategy
star wars: flight of the falcon,gba,8,thq,2003,+7,action
star wars: jedi power battles,gba,9,thq,2002,unknown,action
star wars: jedi starfighter,ps2,15,activision,2002,+3,simulation
star wars: knights of the old republic,pc,17,lucasarts,2003,+12,role-playing
star wars: the force unleashed,psp,14,lucasarts,2008,+12,action
star wars: the force unleashed,ds,11,lucasarts,2008,+12,action
star wars: the force unleashed,wii,12,lucasarts,2008,+12,action
star wars: the force unleashed,ps2,12,lucasarts,2008,+12,action
star wars: the force unleashed,ps3,15,lucasarts,2008,+12,action
star wars: the force unleashed ii,wii,11,lucasarts,2010,+12,action
star wars: the force unleashed ii,ds,9,lucasarts,2010,+12,action
star wars: the force unleashed ii,pc,10,lucasarts,2010,+12,action
star wars: the force unleashed ii,ps3,10,lucasarts,2010,+12,action
star wars: lethal alliance,psp,13,ubisoft,2006,+12,action
star wars: lethal alliance,ds,11,ubisoft,2006,+12,action
star wars: republic commando,pc,11,lucasarts,2005,+12,shooter
star wars: shadows of the empire,n64,16,nintendo,1996,+3,action
star wars: starfighter,ps2,15,activision,2001,+7,simulation
star wars: super bombad racing,ps2,13,lucasarts,2001,+3,racing
star wars: the old republic,pc,17,electronic arts,2011,+16,role-playing
star wars: battlefront,ps2,15,lucasarts,2004,+12,shooter
star wars: battlefront,pc,11,lucasarts,2004,unknown,shooter
star wars: battlefront ii,psp,12,lucasarts,2005,+12,shooter
star wars: battlefront ii,pc,14,lucasarts,2005,+12,shooter
star wars: battlefront ii,ps2,14,lucasarts,2005,+12,shooter
star wars trilogy: apprentice of the force,gba,11,ubisoft,2004,+7,action
star x,gba,11,bam! entertainment,2002,unknown,shooter
starcraft,pc,18,activision,1998,+16,strategy
starcraft ii: heart of the swarm,pc,18,activision,2013,+16,strategy
starcraft ii: wings of liberty,pc,18,activision,2010,+16,strategy
star fox 64 3d,3ds,15,nintendo,2011,+7,shooter
starship troopers,pc,7,empire interactive,2005,+16,shooter
starshot: space circus fever,n64,16,infogrames,1998,unknown,platform
starsky & hutch,gba,6,empire interactive,2003,+7,racing
starsky & hutch,ps2,11,empire interactive,2003,unknown,racing
start the party!,ps3,10,sony computer entertainment,2010,+3,misc
star fox,snes,18,nintendo,1993,unknown,shooter
state of emergency,ps2,13,take-two interactive,2002,+16,action
state of emergency 2,ps2,11,southpeak games,2006,+18,shooter
steambot chronicles,ps2,14,505 games,2005,+12,role-playing
steel diver,3ds,10,nintendo,2011,+7,action
stella deus: the gate of eternity,ps2,16,505 games,2004,+12,strategy
stella glow,3ds,13,atlus,2015,+12,role-playing
still life 2,pc,13,rondomedia,2009,+18,adventure
disney's stitch: experiment 626,ps2,14,sony computer entertainment,2002,+3,action
stolen,ps2,11,hip interactive,2005,+12,action
stormrise,pc,11,sega,2009,unknown,strategy
stormrise,ps3,13,sega,2009,+16,strategy
story of seasons,3ds,15,nintendo,2014,+3,simulation
stranglehold,ps3,15,midway games,2007,+18,shooter
street fighter alpha 3,gba,16,capcom,2002,+3,fighting
street fighter alpha 3 max,psp,14,capcom,2006,+3,fighting
street fighter ex3,ps2,13,virgin interactive,2000,+12,fighting
street fighter ii turbo,snes,18,capcom,1992,+12,fighting
street fighter iv,ps3,18,capcom,2009,+12,fighting
street fighter x tekken,ps3,17,capcom,2012,+12,fighting
street hoops,ps2,14,activision,2002,+3,sports
srs: street racing syndicate,ps2,10,namco bandai games,2004,+12,racing
street supremacy,psp,9,konami digital entertainment,2005,+3,racing
stronghold,pc,15,gathering of developers,2001,+12,strategy
stronghold crusader extreme,pc,8,gamecock,2008,+12,strategy
stronghold kingdoms,pc,12,dtp entertainment,2011,+16,strategy
stronghold legends,pc,10,take-two interactive,2006,+12,strategy
stuart little 2,gba,14,activision,2002,+3,platform
stuart little 3: big photo adventure,ps2,11,sony computer entertainment,2005,+3,platform
stuntman,gba,15,atari,2003,+3,racing
stuntman,ps2,12,atari,2002,+3,racing
stuntman: ignition,ps3,16,thq,2007,+16,racing
stuntman: ignition,ps2,15,thq,2007,+16,racing
sub rebellion,ps2,9,metro 3d,2002,unknown,simulation
nikoli's pencil puzzle,3ds,12,hudson soft,2011,+3,puzzle
sudoku fever,gba,11,take-two interactive,2006,+3,puzzle
sudokuro,ds,3,crave entertainment,2007,+3,puzzle
suikoden iv,ps2,15,konami digital entertainment,2004,+7,role-playing
suikoden tactics,ps2,14,konami digital entertainment,2005,+12,strategy
suikoden tierkreis,ds,17,konami digital entertainment,2008,+12,role-playing
suikoden v,ps2,15,konami digital entertainment,2006,+3,role-playing
summer athletics: the ultimate challenge,ps2,11,dtp entertainment,2008,+3,sports
summer challenge: athletics tournament,wii,9,pqube,2011,+3,sports
summer challenge: athletics tournament,ps3,9,pqube,2011,+3,sports
summoner,ps2,14,thq,2000,+3,role-playing
summoner 2,ps2,14,thq,2002,unknown,role-playing
super black bass fishing,ds,5,majesco entertainment,2005,+3,sports
super bomberman 4,snes,16,hudson soft,1996,+3,puzzle
super bomberman 5,snes,18,hudson soft,1997,unknown,puzzle
super bust-a-move,gba,12,ubisoft,2001,+3,puzzle
super bust-a-move,ps2,14,acclaim entertainment,2000,+3,puzzle
super castlevania iv,snes,17,konami digital entertainment,1991,+7,platform
super dodge ball advance,gba,15,ubisoft,2001,unknown,sports
super dragon ball z,ps2,11,atari,2006,+3,fighting
super mario 3d land,3ds,16,nintendo,2011,+3,platform
super mario 3d world,wiiu,17,nintendo,2013,+3,platform
super mario 64,n64,19,nintendo,1996,+3,platform
super mario advance,gba,15,nintendo,2001,+3,platform
mario pinball land,gba,15,nintendo,2004,+3,misc
super mario galaxy,wii,19,nintendo,2007,+3,platform
super mario galaxy 2,wii,19,nintendo,2010,+3,platform
super mario kart,snes,18,nintendo,1992,+3,racing
super mario land,gb,15,nintendo,1989,unknown,platform
super mario land 2: 6 golden coins,gb,17,nintendo,1992,+3,adventure
super mario rpg: legend of the seven stars,snes,16,nintendo,1996,unknown,role-playing
super mario world,snes,18,nintendo,1990,+3,platform
super mario world,gba,17,nintendo,2001,+3,platform
super mario world 2: yoshi's island,snes,19,nintendo,1995,unknown,platform
super metroid,snes,19,nintendo,1994,+3,action
super monkey ball: banana blitz,wii,14,sega,2006,+7,misc
super monkey ball: step & roll,wii,12,sega,2010,+3,action
super monkey ball: touch & roll,ds,12,sega,2005,+3,misc
super monkey ball 3d,3ds,11,sega,2011,+3,action
super monkey ball adventure,psp,8,sega,2006,+3,platform
super monkey ball adventure,ps2,8,sega,2006,+3,platform
super monkey ball deluxe,ps2,14,sega,2005,+3,misc
super paper mario,wii,17,nintendo,2007,+3,platform
super princess peach,ds,17,nintendo,2005,+3,platform
contra iii: the alien wars,snes,17,konami digital entertainment,1992,+12,shooter
super r-type,snes,16,nintendo,1991,+7,shooter
super r.c. pro-am,gb,14,nintendo,1991,+3,racing
super scribblenauts,ds,15,warner bros. interactive entertainment,2010,+12,puzzle
super smash bros.,n64,16,nintendo,1999,+3,fighting
super smash bros. brawl,wii,18,nintendo,2008,+12,fighting
super soccer,snes,16,nintendo,1991,unknown,sports
super street fighter ii: turbo revival,gba,15,ubisoft,2001,+12,fighting
super swing golf season 2,wii,13,rising star games,2007,+3,sports
super trucks racing,ps2,14,jester interactive,2002,+3,racing
supercar street challenge,ps2,7,activision,2001,+3,racing
superman: shadow of apokolips,ps2,10,atari,2002,+3,action
superman returns,ds,6,electronic arts,2006,+3,action
superstars v8 racing,ps3,14,black bean games,2009,+3,racing
supreme commander,pc,16,thq,2007,+12,strategy
supreme commander: forged alliance,pc,17,thq,2007,+12,strategy
supreme commander 2,pc,16,square enix,2010,+7,strategy
swat: global strike team,ps2,10,vivendi games,2003,+16,shooter
swat 4,pc,17,vivendi games,2005,+18,shooter
sword of mana,gba,18,nintendo,2003,+3,role-playing
syberia,ds,15,mindscape,2008,+3,action
syberia,pc,17,microids,2002,+3,action
syberia ii,pc,17,mc2 entertainment,2004,+3,adventure
syndicate,pc,18,electronic arts,1992,+12,strategy
syndicate,pc,13,electronic arts,1992,+18,strategy
syndicate,ps3,13,ea games,2012,+18,shooter
syphon filter: dark mirror,ps2,11,sony computer entertainment,2007,+16,shooter
syphon filter: dark mirror,psp,16,sony computer entertainment,2006,+16,shooter
syphon filter: logan's shadow,psp,15,sony computer entertainment,2007,+16,shooter
syphon filter: the omega strain,ps2,11,sony computer entertainment,2004,+16,shooter
taito legends,ps2,10,empire interactive,2005,+7,misc
taito legends 2,ps2,12,empire interactive,2006,+3,misc
tak: the great juju challenge,gba,9,thq,2005,+3,platform
tak: the great juju challenge,ds,11,thq,2005,+3,platform
tak 2: the staff of dreams,gba,11,thq,2004,+3,platform
tak 2: the staff of dreams,ps2,14,thq,2004,+3,platform
tak and the power of juju,ps2,13,thq,2003,+3,platform
tak and the power of juju,gba,14,thq,2003,unknown,platform
take on helicopters,pc,14,unknown,2011,+16,simulation
tale of a hero,pc,11,daedalic,2010,+12,adventure
tales of destiny,ps2,18,namco bandai games,2006,+3,role-playing
tales of destiny,ps2,19,namco bandai games,2006,+3,role-playing
tales of destiny 2,psp,18,namco bandai games,2007,+3,role-playing
tales of destiny 2,ps2,18,namco bandai games,2002,+3,role-playing
tales of graces,wii,18,namco bandai games,2009,+12,role-playing
tales of graces f,ps3,17,namco bandai games,2010,+12,role-playing
tales of legendia,ps2,14,namco bandai games,2005,+7,role-playing
tales of phantasia,snes,18,namco bandai games,1995,+3,role-playing
tales of phantasia,gba,14,nintendo,2003,+3,role-playing
tales of rebirth,ps2,18,namco bandai games,2004,+3,role-playing
tales of rebirth,psp,18,namco bandai games,2008,unknown,role-playing
tales of symphonia: dawn of the new world,wii,14,namco bandai games,2008,+12,role-playing
tales of the abyss,3ds,16,namco bandai games,2011,+3,role-playing
tales of the abyss,ps2,17,namco bandai games,2005,+3,role-playing
tales of the heroes: twin brave,psp,14,namco bandai games,2012,unknown,role-playing
tales of xillia,ps3,15,namco bandai games,2011,+16,role-playing
tales of xillia 2,ps3,15,namco bandai games,2012,+16,role-playing
tamagotchi connection: corner shop 2,ds,13,namco bandai games,2006,+3,simulation
tank! tank! tank!,wiiu,5,namco bandai games,2012,+7,action
disney's tarzan: return to the jungle,gba,15,activision,2002,+3,action
disney's tarzan untamed,ps2,14,ubisoft,2001,+3,platform
tatsunoko vs. capcom: ultimate all-stars,wii,17,capcom,2010,+12,fighting
test drive,ps2,12,atari,2002,+3,racing
teen titans,ps2,11,thq,2006,+3,action
teenage mutant ninja turtles,wii,16,konami digital entertainment,2007,+7,action
teenage mutant ninja turtles,ps2,12,konami digital entertainment,2003,+7,action
teenage mutant ninja turtles,gba,10,unknown,2003,+7,action
teenage mutant ninja turtles: smash-up,ps2,14,ubisoft,2009,+12,fighting
teenage mutant ninja turtles: smash-up,wii,14,ubisoft,2009,+12,fighting
teenage mutant ninja turtles 2: battle nexus,ps2,7,konami digital entertainment,2004,+3,action
teenage mutant ninja turtles 2: battle nexus,gba,9,konami digital entertainment,2004,+3,action
teenage mutant ninja turtles 3: mutant nightmare,ds,10,konami digital entertainment,2005,+7,action
tekken 4,ps2,18,namco bandai games,2002,+12,fighting
tekken 5,ps2,17,namco bandai games,2005,+12,fighting
tekken 6,psp,17,namco bandai games,2009,+16,fighting
tekken 6,ps3,17,namco bandai games,2009,+16,fighting
tekken advance,gba,14,infogrames,2001,unknown,fighting
tekken tag tournament,ps2,17,namco bandai games,2000,+12,fighting
tekken tag tournament 2,wiiu,16,namco bandai games,2012,+16,fighting
tekken tag tournament 2,ps3,16,namco bandai games,2012,+16,fighting
tenchu: dark secret,ds,5,from software,2006,+12,action
tenchu: fatal shadows,ps2,14,sega,2004,+16,action
tenchu: wrath of heaven,ps2,16,activision,2003,+16,action
tenchu: shadow assassins,psp,12,ubisoft,2009,+16,action
